model_family,method,method_label,metric,mean,ci_low,ci_high,random_mean,mean_diff_vs_random,n_pairs,p_value,q_value,significance
Frozen ESM-2,occlusion,Occlusion,AUROC,0.495992674677563,0.4797778525646864,0.5112579538796409,0.5006645216064911,-0.0046718469289281795,61.0,0.695456308256821,0.695456308256821,ns
Frozen ESM-2,occlusion,Occlusion,AUPRC,0.26365008971329357,0.2142559662797433,0.3153326750494981,0.26729598868124504,-0.0036458989679514346,61.0,0.049473393817463455,0.06917825617696471,ns
Frozen ESM-2,occlusion,Occlusion,Precision@k,0.23517105740601899,0.18202689787464554,0.2916727927192801,0.2500789996682376,-0.01490794226221861,61.0,0.002840948574881346,0.008928695521055659,**
MTL ESM-2,random_mean,Random,AUROC,0.5006645216064911,0.4993424538382038,0.502077240445782,0.5006645216064911,0.0,,,,
MTL ESM-2,random_mean,Random,AUPRC,0.26729598868124504,0.21756136873364956,0.3195605149914143,0.26729598868124504,0.0,,,,
MTL ESM-2,random_mean,Random,Precision@k,0.2500789996682376,0.20004898282195457,0.30266749568257606,0.2500789996682376,0.0,,,,
MTL ESM-2,attention_weights,Attention,AUROC,0.4673394952449821,0.44136133335890987,0.49429582985625586,0.5006645216064911,-0.03332502636150897,61.0,0.014746223065167265,0.08208094050573941,ns
MTL ESM-2,attention_weights,Attention,AUPRC,0.25213602339401847,0.20133605991535639,0.3047165675560708,0.26729598868124504,-0.015159965287226492,61.0,0.008657150611941599,0.04761432836567879,*
MTL ESM-2,attention_weights,Attention,Precision@k,0.2157259919970739,0.16265274006262667,0.27046935563204716,0.2500789996682376,-0.034353007671163706,61.0,0.00013086339268480798,0.0014394973195328879,**
MTL ESM-2,integrated_gradients,IG,AUROC,0.4745922956604976,0.4368712806057868,0.5144499311214183,0.5006645216064911,-0.0260722259459935,61.0,0.08153940333288388,0.1447783097573194,ns
MTL ESM-2,integrated_gradients,IG,AUPRC,0.26107564749313483,0.207489217189098,0.3183577886247114,0.26729598868124504,-0.0062203411881102165,61.0,0.034402049775466244,0.05821885346617364,ns
MTL ESM-2,integrated_gradients,IG,Precision@k,0.22557033573994872,0.17006735204199908,0.2864925080406495,0.2500789996682376,-0.0245086639282889,61.0,0.012559745138233255,0.022581382074413667,*
MTL ESM-2,gradient_x_input,Grad×Input,AUROC,0.4786466022109823,0.4581564076189857,0.501153406846353,0.5006645216064911,-0.02201791939550886,61.0,0.018654759205849865,0.08208094050573941,ns
MTL ESM-2,gradient_x_input,Grad×Input,AUPRC,0.26232428199580116,0.21109741118392497,0.3164260833341279,0.26729598868124504,-0.004971706685443824,61.0,0.03891845836561265,0.06115757743167701,ns
MTL ESM-2,gradient_x_input,Grad×Input,Precision@k,0.23523683665839376,0.1828571664413712,0.28928273769904717,0.2500789996682376,-0.014842163009843866,61.0,0.01692776624677754,0.024827390495273723,*
MTL ESM-2,smoothgrad_ig,SmoothGrad-IG,AUROC,0.4732788053194115,0.43558426795970867,0.5127532830900458,0.5006645216064911,-0.02738571628707959,61.0,0.06973149546707261,0.1447783097573194,ns
MTL ESM-2,smoothgrad_ig,SmoothGrad-IG,AUPRC,0.2603825697833104,0.206462846658901,0.317405234256951,0.26729598868124504,-0.0069134188979345845,61.0,0.027195269553073807,0.05267386065543663,ns
MTL ESM-2,smoothgrad_ig,SmoothGrad-IG,Precision@k,0.22620501460843398,0.17022723468921347,0.28676322686989775,0.2500789996682376,-0.023873985059803614,61.0,0.013077602516880182,0.022581382074413667,*
MTL ESM-2,occlusion,Occlusion,AUROC,0.4907639794183333,0.47237953682383566,0.5081194404739303,0.5006645216064911,-0.009900542188157863,61.0,0.3907038138331571,0.40930875734902167,ns
MTL ESM-2,occlusion,Occlusion,AUPRC,0.26475709135853226,0.21560052758202347,0.3170670238891309,0.26729598868124504,-0.0025388973227127086,61.0,0.05031145903779252,0.06917825617696471,ns
MTL ESM-2,occlusion,Occlusion,Precision@k,0.24066428092048794,0.18676650378562998,0.2947640377890746,0.2500789996682376,-0.009414718747749677,61.0,0.1399276783662121,0.1539204462028333,ns
MTL ESM-2,residue_head,Residue head,AUROC,0.6336843420750998,0.594065277240134,0.6715010431135439,0.5006645216064911,0.13301982046860858,61.0,7.911965074559718e-08,8.70316158201569e-07,***
MTL ESM-2,residue_head,Residue head,AUPRC,0.3724374270969843,0.3065978856679778,0.4419907849625915,0.26729598868124504,0.10514143841573931,61.0,1.573356367486669e-06,1.730692004235336e-05,***
MTL ESM-2,residue_head,Residue head,Precision@k,0.344942252594428,0.28160944268809723,0.41275412579235,0.2500789996682376,0.09486325292619037,61.0,2.6048813252809732e-05,0.0005730738915618141,***
MTL ESM-2 top 1,random_mean,Random,AUROC,0.5006645216064911,0.4993424538382038,0.502077240445782,0.5006645216064911,0.0,,,,
